Year,CityID_From,CityID_To,Connections,Distance
2002,390,393,0,171.909
2002,390,394,1,79.184
2002,390,396,0,182.325
2002,390,1842,0,150.645
2002,390,2103,0,162.389
2002,391,379,11,179.654
2002,391,380,0,362.056
2002,391,381,0,351.74
2002,391,382,0,208.863
2002,391,383,0,62.004
2002,391,384,0,173.184
2002,391,385,0,404.851
2002,391,386,0,184.336
2002,391,387,0,119.505
2002,391,388,0,152.331
2002,391,389,0,239.308
2002,391,390,0,169.86
2002,391,392,0,294.809
2002,391,393,0,111.401
2002,391,394,0,95.983
2002,391,396,0,301.934
2002,391,1842,0,84.018
2002,391,2103,0,288.081
2002,392,379,15,189.829
2002,392,380,0,117.965
2002,392,381,0,188.742
2002,392,382,0,92.785
2002,392,383,1,260.88
2002,392,384,0,309.614
2002,392,385,0,166.701
2002,392,386,0,119.652
2002,392,387,0,240.864
2002,392,388,0,393.893
2002,392,389,0,99.742
2002,392,390,0,247.645
2002,392,391,0,294.416
2002,392,393,0,389.335
2002,392,394,0,284.566
2002,392,396,0,170.962
2002,392,1842,0,215.499
2002,392,2103,0,224.463
2002,393,379,6,213.025
2002,393,380,0,431.034
2002,393,381,0,385.111
2002,393,382,0,314.685
2002,393,383,0,171.673
2002,393,384,0,132.181
2002,393,385,0,439.052
2002,393,386,0,271.199
2002,393,387,0,149.349
2002,393,388,0,53.966
2002,393,389,0,306.288
2002,393,390,0,171.927
2002,393,391,0,111.58
2002,393,392,0,389.687
2002,393,394,0,106.465
2002,393,396,0,335.304
2002,393,1842,0,192.017
2002,393,2103,0,321.452
2002,394,379,26,107.978
2002,394,380,0,325.988
2002,394,381,0,280.064
2002,394,382,0,220.949
2002,394,383,1,136.12
2002,394,384,0,77.851
2002,394,385,0,334.006
2002,394,386,0,166.153
2002,394,387,0,44.302
2002,394,388,0,111.068
2002,394,389,0,201.241
2002,394,390,1,79.491
2002,394,391,0,96.217
2002,394,392,0,284.956
2002,394,393,0,106.312
2002,394,396,0,230.258
2002,394,1842,0,118.321
2002,394,2103,0,216.406
2002,396,379,17,122.857
2002,396,380,0,116.119
2002,396,381,2,53.391
2002,396,382,0,210.211
2002,396,383,0,297.623
2002,396,384,0,243.899
2002,396,385,0,120.794
2002,396,386,0,134.86
2002,396,387,0,185.9
2002,396,388,0,337.685
2002,396,389,0,94.527
2002,396,390,0,182.348
2002,396,391,0,302.375
2002,396,392,0,171.453
2002,396,393,0,334.371
2002,396,394,0,229.602
2002,396,1842,0,244.132
2002,396,2103,0,59.907
2002,1842,379,4,142.409
2002,1842,380,0,286.79
2002,1842,381,0,282.148
2002,1842,382,0,135.148
2002,1842,383,0,58.44
2002,1842,384,0,185.057
2002,1842,385,0,329.585
2002,1842,386,0,110.111
2002,1842,387,0,100.259
2002,1842,388,0,223.575
2002,1842,389,0,164.043
2002,1842,390,0,150.615
2002,1842,391,0,83.867
2002,1842,392,0,215.594
2002,1842,393,0,191.808
2002,1842,394,0,118.504
2002,1842,396,0,243.774
2002,1842,2103,0,248.605
2002,2103,379,1,108.681
2002,2103,380,0,175.706
2002,2103,381,0,99.977
2002,2103,382,0,239.129
2002,2103,383,0,301.351
2002,2103,384,0,206.802
2002,2103,385,0,178.671
2002,2103,386,0,157.045
2002,2103,387,0,171.724
2002,2103,388,0,305.503
2002,2103,389,0,131.756
2002,2103,390,0,162.431
2002,2103,391,0,288.199
2002,2103,392,0,224.436
2002,2103,393,0,320.195
2002,2103,394,0,215.426
2002,2103,396,0,59.807
2002,2103,1842,0,247.86
2003,379,380,109,218.669
2003,379,381,94,172.582
2003,379,382,130,168.367
2003,379,383,155,194.517
2003,379,384,101,122.232
2003,379,385,48,226.524
2003,379,386,57,84.142
2003,379,387,97,63.724
2003,379,388,43,215.509
2003,379,389,24,99.179
2003,379,390,28,60.172
2003,379,391,23,180.199
2003,379,392,30,189.771
2003,379,393,16,212.195
2003,379,394,62,107.426
2003,379,396,50,122.776
2003,379,1842,16,141.026
2003,379,2103,2,109.108
2003,380,379,109,218.697
2003,380,381,3,98.981
2003,380,382,0,202.51
2003,380,383,5,340.109
2003,380,384,0,339.739
2003,380,385,2,48.736
2003,380,386,0,178.733
2003,380,387,0,281.741
2003,380,388,0,433.525
2003,380,389,0,124.786
2003,380,390,0,278.189
2003,380,391,0,356.641
2003,380,392,0,118.216
2003,380,393,0,430.212
2003,380,394,0,325.443
2003,380,396,0,116.095
2003,380,1842,1,286.619
2003,380,2103,0,175.746
2003,381,379,94,172.569
2003,381,380,3,99.045
2003,381,382,0,244.305
2003,381,383,0,336.081
2003,381,384,0,293.318
2003,381,385,1,78.693
2003,381,386,0,173.318
2003,381,387,0,235.613
2003,381,388,0,387.397
2003,381,389,0,132.251
2003,381,390,1,232.061
2003,381,391,0,351.498
2003,381,392,0,189.324
2003,381,393,0,384.084
2003,381,394,0,279.315
2003,381,396,3,53.074
2003,381,1842,0,282.591
2003,381,2103,0,100.763
2003,382,379,130,167.813
2003,382,380,0,202.556
2003,382,381,0,244.261
2003,382,383,3,168.887
2003,382,384,1,264.1
2003,382,385,0,251.293
2003,382,386,2,84.98
2003,382,387,0,180.1
2003,382,388,1,330.089
2003,382,389,2,116.686
2003,382,390,0,221.949
2003,382,391,1,208.954
2003,382,392,0,92.961
2003,382,393,0,314.4
2003,382,394,1,219.262
2003,382,396,0,210.0
2003,382,1842,0,135.308
2003,382,2103,0,239.438
2003,383,379,155,194.805
2003,383,380,5,340.546
2003,383,381,0,335.903
2003,383,382,3,168.819
2003,383,384,1,213.247
2003,383,385,1,383.341
2003,383,386,2,163.867
2003,383,387,1,148.385
2003,383,388,1,214.034
2003,383,389,2,217.798
2003,383,390,0,198.74
2003,383,391,1,61.834
2003,383,392,1,260.981
2003,383,393,1,171.658
2003,383,394,2,136.046
2003,383,396,0,297.529
2003,383,1842,1,58.558
2003,383,2103,0,298.349
2003,384,379,101,122.013
2003,384,380,0,340.186
2003,384,381,0,292.811
2003,384,382,1,264.285
2003,384,383,1,213.001
2003,384,385,1,348.04
2003,384,386,0,202.861
2003,384,387,1,84.513
2003,384,388,2,99.161
2003,384,389,0,219.233
2003,384,390,0,64.038
2003,384,391,1,173.097
2003,384,392,0,309.825
2003,384,393,0,132.435
2003,384,394,1,77.845
2003,384,396,0,244.293
2003,384,1842,0,184.801
2003,384,2103,0,206.634
2003,385,379,48,226.355
2003,385,380,2,48.744
2003,385,381,1,78.979
2003,385,382,0,251.188
2003,385,383,1,382.996
2003,385,384,1,347.396
2003,385,386,0,221.619
2003,385,387,1,289.398
2003,385,388,0,441.182
2003,385,389,0,167.672
2003,385,390,0,285.846
2003,385,391,0,399.528
2003,385,392,0,166.894
2003,385,393,0,437.869
2003,385,394,0,333.1
2003,385,396,3,120.946
2003,385,1842,0,329.505
2003,385,2103,0,178.926
2003,386,379,57,83.599
2003,386,380,0,179.291
2003,386,381,0,172.907
2003,386,382,2,84.877
2003,386,383,2,163.069
2003,386,384,0,202.706
2003,386,385,0,222.086
