year,source,target,travel_time,length
2002,Pécs,Szekszárd,0.7319098179933825,59481.90900000001
2002,Pécs,Kaposvár,1.1289733228548327,66148.099
2002,Pécs,Eger,3.580359699239908,325694.28299999994
2002,Pécs,Debrecen,4.809780482487904,402441.2119999998
2002,Pécs,Szeged,2.570852492967031,188892.523
2002,Pécs,Kecskemét,2.0988489676072337,172752.24999999997
2002,Pécs,Békéscsaba,3.2805032353122456,284006.87000000005
2002,Pécs,Miskolc,4.063049779080691,373658.50299999997
2002,Pécs,Győr,3.1227133383659296,229454.58500000008
2002,Pécs,Nyíregyháza,4.99863897768852,429174.4270000001
2002,Pécs,Székesfehérvár,2.0374094989796614,154190.415
2002,Pécs,Zalaegerszeg,3.2523657368290113,189736.97
2002,Pécs,Salgótarján,3.568819403454092,308455.85499999986
2002,Pécs,Tatabánya,2.71257196050841,220184.39899999995
2002,Pécs,Veszprém,2.2009319740840887,156050.595
2002,Pécs,Szolnok,2.8908627415608463,233296.78
2002,Szekszárd,Kaposvár,1.6636305385425163,116030.46900000004
2002,Szekszárd,Eger,2.9305201923576347,272038.23
2002,Szekszárd,Debrecen,4.159940975605632,348785.15899999987
2002,Szekszárd,Szeged,1.9333957641497541,139082.89400000003
2002,Szekszárd,Kecskemét,1.4490094607249628,119096.19699999996
2002,Szekszárd,Békéscsaba,2.6306637284299756,234197.24100000004
2002,Szekszárd,Miskolc,3.4132102721984174,320002.44999999995
2002,Szekszárd,Győr,2.4728738314836582,186451.88300000006
2002,Szekszárd,Nyíregyháza,4.348799470806247,375518.37400000007
2002,Szekszárd,Székesfehérvár,1.3875699920973907,100534.36200000001
2002,Szekszárd,Tatabánya,2.0627324536261393,166528.346
2002,Szekszárd,Veszprém,1.780485111708348,126706.50000000004
2002,Kaposvár,Eger,3.3740304156491057,328838.651
2002,Kaposvár,Debrecen,4.603451198897102,420345.2570000001
2002,Kaposvár,Szeged,3.596243102692272,250247.67299999998
2002,Kaposvár,Kecskemét,2.575002661550725,191254.02200000003
2002,Kaposvár,Békéscsaba,3.756656929255737,313007.5859999999
2002,Kaposvár,Miskolc,3.8567204954898884,378077.5650000001
2002,Kaposvár,Győr,2.820997312416425,212885.3560000001
2002,Kaposvár,Nyíregyháza,4.7923096940977175,433593.48900000023
2002,Kaposvár,Székesfehérvár,1.735693473030158,140796.73500000004
2002,Kaposvár,Tatabánya,2.4030823332768554,206716.05399999997
2002,Kaposvár,Veszprém,1.8709741242345082,139481.36599999998
2002,Eger,Debrecen,1.6273441158114195,125806.534
2002,Eger,Szeged,3.141936336112207,236868.67399999988
2002,Eger,Kecskemét,1.8622478219848433,157249.98099999997
2002,Eger,Békéscsaba,3.051149666515867,222975.45499999987
2002,Eger,Miskolc,0.8386186465106046,66304.834
2002,Eger,Győr,2.2620143260425167,249746.2699999999
2002,Eger,Nyíregyháza,1.7742078451184327,128990.76799999998
2002,Eger,Székesfehérvár,1.8310594283484947,197702.70000000004
2002,Eger,Tatabánya,1.711180611510887,189612.49299999993
2002,Eger,Veszprém,2.2239745479594526,238130.845
2002,Debrecen,Szeged,3.014965355474007,217564.626
2002,Debrecen,Kecskemét,3.0893220394527416,232120.28699999995
2002,Debrecen,Békéscsaba,1.9545093538865304,128769.73899999999
2002,Debrecen,Miskolc,1.5654830110447113,98368.706
2002,Debrecen,Győr,3.4914351092905154,341236.88500000007
2002,Debrecen,Nyíregyháza,0.7871025815701225,52669.56000000001
2002,Debrecen,Székesfehérvár,3.0604802115964924,289209.30600000004
2002,Debrecen,Tatabánya,2.9406013947588856,281119.09900000005
2002,Debrecen,Veszprém,3.45339533120745,329637.45100000023
2002,Szeged,Kecskemét,1.3985630416487316,87145.45499999999
