M4 Vecses-Ullo (Ferihegy);2005;12;17;[[19.3036968464,47.4022773733],[19.2960579151,47.4077960351],[19.2830974811,47.4136045281],[19.2740852588,47.4185993197],[19.2662746662,47.4210384644],[19.2567474598,47.417379705],[19.2539150471,47.4194123805],[19.2617256397,47.4240582012],[19.2681629413,47.4245808304],[19.2844707722,47.4179604775],[19.2975170368,47.4128494602],[19.3098766559,47.4070989729],[19.3083317035,47.4023935616],[19.3036968464,47.4022773733]]
4-es kisujszallas elkerulo;2011;07;6;[[20.8074520466,47.227822959],[20.7913158771,47.2316697169],[20.7689998981,47.2376141574],[20.7470272419,47.2428586981],[20.7247112629,47.242159456],[20.6972454426,47.2363320796],[20.6936405536,47.2398285823],[20.7317493793,47.2510158407],[20.7611034748,47.2442571546],[20.8093403217,47.2329519076],[20.8074520466,47.227822959]]
M5 Kiskunfelegyhaza-Szeged;2005;12;10;[[20.0362874432,46.2989919768],[19.9992085858,46.35257294],[19.9152661725,46.4411270421],[19.8731469716,46.5515277732],[19.8302316274,46.6043892407],[19.8232588816,46.6733668873],[19.8280654002,46.6761936914],[19.8364768076,46.658641559],[19.9771071835,46.4232916382],[20.0452138348,46.3150006372],[20.0553418561,46.3010081398],[20.0362874432,46.2989919768]]
M5 Szeged-Roszke;2006;3;11;[[19.9814474313,46.1713111652],[19.9659979074,46.172737662],[19.9811041086,46.187238279],[20.020929548,46.220028842],[20.0312292306,46.2518502254],[20.0370657174,46.2995477029],[20.0485670297,46.2971756755],[20.0441038339,46.2590905742],[20.0350057809,46.2171782656],[20.0106298654,46.1931800501],[19.9920904367,46.1782055569],[19.9814474313,46.1713111652]]
M6 M0-Erdi-teto;2008;09;23;[[18.9066793101,47.3575812047],[18.9047910349,47.3603138779],[18.9083530085,47.3608080697],[18.9121499574,47.3616051039],[18.9132442987,47.361821308],[18.9163234747,47.3625425878],[18.9178201473,47.3629749876],[18.9197191513,47.3635945121],[18.9210146582,47.3640705056],[18.9225730217,47.3648171889],[18.9236056721,47.3653240555],[18.9259070075,47.3663922745],[18.9267465389,47.3666938426],[18.9286026275,47.3675567539],[18.929519943,47.3680581443],[18.9314135826,47.3689973301],[18.932561568,47.3695096063],[18.9346107757,47.3704869136],[18.934382788,47.3714696524],[18.9357131636,47.3718075214],[18.9365151441,47.371525964],[18.9428719795,47.373669395],[18.9507040298,47.3795397698],[18.9542445457,47.3826708535],[18.9561006344,47.3825110347],[18.9566585338,47.3834045608],[18.9588364876,47.3859615601],[18.9637073791,47.3872763324],[18.9673659122,47.3875160387],[18.9699944771,47.3892084797],[18.9697047985,47.3919104617],[18.9681169307,47.3964642953],[18.968363694,47.3978296424],[18.9698838197,47.4009305246],[18.9728878938,47.398141857],[18.9708279573,47.3947139175],[18.9718579255,47.3903560454],[18.971106907,47.3891212494],[18.969669243,47.3875668181],[18.9679526292,47.3870874048],[18.9640687905,47.3864772361],[18.9603351556,47.3858670604],[18.9585425036,47.3813420038],[18.9432217257,47.3721877341],[18.9378573076,47.369455676],[18.9345099108,47.3672176079],[18.9292313234,47.3667525429],[18.9222361223,47.3634097675],[18.9066793101,47.3575812047]]
M6 Erdi-teto-Dunaujvaros;2006;06;11;[[18.90218234,46.9126921941],[18.8843295568,46.9192585729],[18.8867328161,46.9340299833],[18.882612943,46.9675436245],[18.8767764562,46.9942457603],[18.8918826574,47.0239771732],[18.8877627843,47.045036659],[18.8699100011,47.0798835396],[18.839354276,47.0967141385],[18.8232181066,47.1212492291],[18.7984988683,47.1446054677],[18.7998721593,47.1777537024],[18.8108584875,47.2099483686],[18.8228747839,47.252378137],[18.8472506994,47.2663585278],[18.8592669958,47.2957053332],[18.8651034826,47.3250358607],[18.8908526891,47.3427194202],[18.9045212263,47.3587439896],[18.9057228559,47.3577555628],[18.9035770887,47.3534527834],[18.9022252553,47.3492877658],[18.901334762,47.3472669233],[18.8958308691,47.3384517677],[18.8929984563,47.3352235356],[18.8860890859,47.3296391006],[18.8694808477,47.3085176178],[18.8676784032,47.2982156505],[18.8653609746,47.286980144],[18.8620135778,47.2710833564],[18.8479373449,47.2524436787],[18.8276813024,47.223072878],[18.8163516515,47.1820197432],[18.8136050695,47.1472396995],[18.835234403,47.1269213588],[18.856177091,47.0972473128],[18.8702533239,47.0864951513],[18.8755962842,47.0795182333],[18.8770232194,47.0775820679],[18.883857488,47.064041557],[18.8874623769,47.0570251526],[18.8948867315,47.0512359239],[18.9102504247,47.034624952],[18.9083621496,47.02467929],[18.8905093664,46.9991631202],[18.8891360754,46.9841754685],[18.8966891759,46.9595772477],[18.8977191442,46.935202143],[18.9076755041,46.9209000418],[18.90218234,46.9126921941]]
M6 Dunaujvaros-Pecs;2010;03;31;[[18.5332377694,45.9757037252],[18.5061152719,45.9825033144],[18.4834559701,45.9847696586],[18.4511836313,45.9779703477],[18.4359057687,45.9823840306],[18.4065516733,45.9765388074],[18.3856089853,45.99896202],[18.3710177682,46.0100509958],[18.342693641,46.0223297405],[18.3263858102,46.023402511],[18.295315101,46.0161311034],[18.2839854501,46.0166079463],[18.2812388681,46.0236409016],[18.2941134713,46.0222105425],[18.298061683,46.020660945],[18.3174594186,46.0274550117],[18.3505900644,46.0254287985],[18.3646662973,46.0174424115],[18.3751896324,46.0117264147],[18.3851889076,46.0056160144],[18.3917549553,46.0011743731],[18.4045437278,45.9890102011],[18.4109810295,45.9832253186],[18.4199074211,45.9814360573],[18.432867855,45.985879283],[18.4439400139,45.9861476544],[18.4549692573,45.9835533435],[18.4664276542,45.9852530782],[18.4796026649,45.9885629379],[18.4987429085,45.9877578551],[18.5104158821,45.9861774733],[18.5208443107,45.9840901075],[18.5333755913,45.9788117027],[18.5453918876,45.9805115829],[18.558523983,45.9834638824],[18.5707548561,45.9848952436],[18.5766771736,45.9827780087],[18.5786941948,45.9905308688],[18.5761192741,46.0013234272],[18.5695961418,46.0133656756],[18.5704544487,46.0411660975],[18.5719135704,46.0601386327],[18.5775783958,46.063980001],[18.5891655388,46.0775864185],[18.5877493324,46.0858320016],[18.5847452583,46.10309313],[18.588950962,46.1150239582],[18.6088636818,46.1279039726],[18.6306646766,46.144230193],[18.6595467033,46.1662881763],[18.671477169,46.1835241089],[18.6955955925,46.2009328582],[18.6986854973,46.2081799264],[18.6996296348,46.2126346168],[18.7165382805,46.2428575691],[18.7204006614,46.2580518216],[18.7176540794,46.3052695598],[18.742287487,46.3268480322],[18.7531021538,46.3435595706],[18.74889645,46.3619245181],[18.7490681114,46.3790398302],[18.7512138786,46.3888091431],[18.7460640373,46.3985767078],[18.7373951378,46.4065670514],[18.7373522224,46.4088011788],[18.7350991668,46.4111239825],[18.7325457039,46.4136833904],[18.7294772568,46.4159763996],[18.722396225,46.4241860611],[18.7190488281,46.4273364679],[18.7072685661,46.4384871489],[18.6991146507,46.4546723984],[18.710615963,46.4693349574],[18.7305286827,46.4799746641],[18.7619427147,46.5036110095],[18.7804821434,46.5382197083],[18.7990215721,46.5769364003],[18.8185909691,46.6111446132],[18.8070896568,46.6631233053],[18.8149860801,46.6855023637],[18.8649395408,46.71175649],[18.8647678795,46.740703633],[18.8541248741,46.822988569],[18.8724926414,46.8705388557],[18.8721493187,46.8994007046],[18.8882854881,46.9201575512],[18.8908942483,46.9175000598],[18.8976748727,46.9174414331],[18.8910659097,46.905069755],[18.8806803964,46.8918740608],[18.8820536874,46.8583130517],[18.8772471689,46.8397633535],[18.8643725656,46.8257294218],[18.8636000894,46.8178594215],[18.8622267984,46.8052885246],[18.869779899,46.7879280688],[18.8787062906,46.7646507788],[18.8742430948,46.7415987026],[18.8744147561,46.7352458878],[18.8775904916,46.7304219545],[18.8801654123,46.7209493179],[18.8776763223,46.714711767],[18.8732131265,46.7010572529],[18.8533004068,46.688812338],[18.829267814,46.6793912834],[18.8199980996,46.673737862],[18.8158782266,46.6650210118],[18.8217147134,46.6431048837],[18.8299544595,46.615992013],[18.8252337716,46.5947637709],[18.8178523324,46.5888065753],[18.8115866922,46.5764772297],[18.7981971048,46.5596009499],[18.7941630624,46.5501573841],[18.7822325967,46.5132527071],[18.7585433267,46.4808740528],[18.7183745645,46.4603024163],[18.7156279825,46.4399595934],[18.7341674112,46.4165322851],[18.7437804483,46.4074189459],[18.7539943002,46.3979489285],[18.7601741098,46.3825566444],[18.7533076547,46.3711872482],[18.7605174325,46.3515220816],[18.7629206918,46.3391981299],[18.7436946176,46.3183358822],[18.7285884164,46.3052929367],[18.7265284799,46.2661454499],[18.7215503,46.2395566702],[18.7105639718,46.2226946069],[18.7055857919,46.2135489276],[18.7000926278,46.1988176187],[18.691509559,46.1838446615],[18.6758883737,46.1757623232],[18.6702235483,46.1704130637],[18.6499675058,46.1512703412],[18.5933192514,46.1109418384],[18.5895427011,46.0990398846],[18.5943492196,46.0729656301],[18.5850795053,46.0618892732],[18.5752948068,46.0539081549],[18.5742648385,46.0236409016],[18.5838778756,45.9977695246],[18.5837062143,45.9859624341],[18.5864527963,45.9782089341],[18.5725482248,45.9776124661],[18.5627635263,45.9795211412],[18.5332377694,45.9757037252]]
M6 58-as + kokenyi ut;2015;07;31;[[18.2293055481,46.0117399389],[18.2154438919,46.0148991975],[18.206732077,46.019607946],[18.2057450241,46.0203827649],[18.2071183151,46.0214257732],[18.212096495,46.0190715265],[18.2211516327,46.0156442793],[18.2305071777,46.0142435172],[18.2293055481,46.0117399389]]
M7 Becsehely-Letenye;2004;09;;[[16.7344926748,46.4114085755],[16.717069045,46.4146041016],[16.7068551931,46.4223554331],[16.7061685476,46.4257278059],[16.7116617116,46.4263785906],[16.7158674154,46.4206395845],[16.7268537435,46.416379313],[16.7501996907,46.4168526929],[16.7709707174,46.4227104296],[16.7956899556,46.436198581],[16.8167184743,46.4461942235],[16.8124269399,46.450629572],[16.8144868764,46.4521670752],[16.8178342733,46.4500382131],[16.8202375325,46.4470813221],[16.8235849294,46.4444791252],[16.8169759664,46.4422316734],[16.7901109609,46.4285083773],[16.7753480825,46.421882101],[16.7602418813,46.4147816254],[16.7344926748,46.4114085755]]
M7 Balatonszarszo-Ordacsehi;2005;07;;[[17.6254859827,46.7479902848],[17.6198211572,46.7541063775],[17.6395622156,46.7606921627],[17.6610198877,46.7669243966],[17.6984420679,46.766806814],[17.7113166712,46.7753896726],[17.7308860681,46.7879675554],[17.7453056238,46.7944316789],[17.7586952112,46.7964295236],[17.7899375818,46.7925512867],[17.8045287988,46.8031276382],[17.8228965662,46.8105298473],[17.8465858362,46.8148767017],[17.8522506616,46.8209852006],[17.8469291589,46.8292070839],[17.8536239526,46.8317908447],[17.8603187463,46.8247439318],[17.8652969263,46.8202804092],[17.8558555505,46.8138193911],[17.8388610742,46.808885],[17.8191200159,46.8016000714],[17.8024688623,46.7906708288],[17.7918258569,46.786557098],[17.7628150842,46.7916110659],[17.7483955286,46.7893779758],[17.7286544702,46.7780935776],[17.7190414331,46.7676298871],[17.7058235071,46.7619857045],[17.6840225122,46.7616329235],[17.6613632105,46.7601041789],[17.6426521204,46.756811351],[17.6254859827,46.7479902848]]
M7 Ordacsehi-Balatonkeresztur;2006;03;27;[[17.3520294852,46.6681336037],[17.3467938132,46.6683397498],[17.3465363211,46.6704011674],[17.3473517126,46.6721680342],[17.3471371359,46.6744059826],[17.3550335593,46.6769971754],[17.3706547446,46.6852410534],[17.3818127341,46.6865364055],[17.4053303427,46.6879494816],[17.4408642477,46.6943078662],[17.4606053061,46.7000768638],[17.4666134543,46.7023136562],[17.466956777,46.7051389458],[17.4712483115,46.7053743799],[17.4789730734,46.7047857927],[17.5030056662,46.7049035106],[17.5357929892,46.70031232],[17.5630871481,46.7072578159],[17.5682369894,46.7134962283],[17.5840298361,46.7300892486],[17.6087490744,46.7459125867],[17.6227394766,46.7532050526],[17.6264301962,46.7500294226],[17.5937716193,46.7257649637],[17.5811115927,46.717850919],[17.5726143545,46.7095531647],[17.559825582,46.7025491027],[17.5476805395,46.6977516787],[17.5351063437,46.6964565955],[17.5171248144,46.696309425],[17.5028769202,46.7007243659],[17.4931780524,46.7021665017],[17.4796597189,46.7015484482],[17.475926084,46.6991938939],[17.4703900046,46.6993410566],[17.4629227347,46.6961622541],[17.4421517081,46.6908638341],[17.4263588614,46.6873018263],[17.4149862952,46.686065372],[17.3988072104,46.6844461628],[17.3828856177,46.6840928743],[17.370955152,46.6816492326],[17.3590676016,46.6758193759],[17.3518149084,46.6709606814],[17.3520294852,46.6681336037]]
M7 Becsehely-Sormas;2006;11;11;[[16.8233012559,46.4438409071],[16.8203830125,46.4480990326],[16.8411540391,46.4510558683],[16.8631266954,46.4514106778],[16.8787478807,46.4543673338],[16.8854426744,46.4609896607],[16.8928241136,46.4602801642],[16.8878459336,46.4550769073],[16.878919542,46.4473893681],[16.8526553514,46.4472710898],[16.834287584,46.4463248541],[16.8233012559,46.4438409071]]
M7 Zamardi-Balatonszarszo;2007;08;08;[[17.9177014946,46.8123476122],[17.9031102776,46.8145797491],[17.8802793144,46.8192786819],[17.8701512932,46.821275604],[17.8560750603,46.8152846152],[17.8504102349,46.8213930677],[17.8471486687,46.8305544453],[17.8512685417,46.8336078909],[17.8574483513,46.8226851514],[17.87598778,46.8266786684],[17.894183886,46.821275604],[17.9139249443,46.8173991581],[17.9262845635,46.8218629199],[17.9369275688,46.8351345486],[17.9468839287,46.8392445654],[17.9528920769,46.853685845],[17.9618184685,46.8607289629],[17.9655950188,46.8770419702],[17.9662816643,46.8824394275],[17.9724614739,46.8850206282],[17.9825894951,46.8817354421],[17.9813878655,46.8780980371],[17.9707448601,46.8746950802],[17.9695432305,46.8620201009],[17.9654233574,46.8539206305],[17.9594152092,46.8482854957],[17.9544370293,46.8347822468],[17.9372708916,46.8271484744],[17.9317777275,46.8172816857],[17.9177014946,46.8123476122]]
