u,v,key,osmid,oneway,lanes,ref,highway,length,name,maxspeed,bridge,junction,access,tunnel,width,service,maxspeed_new,speedcolor
17949696,1446273387,0,"[313934032, 313934033, 313934034, 168196112, 313934037]",False,4,58,primary,1572.4489999999998,II. János Pál út,90.00000000000001,,,,,,,90.00000000000001,#21918c
21745761,918296008,0,168280987,True,1,57,primary,76.972,,50.0,,,,,,,50.0,#440154
21745761,516010292,0,"[220025536, 78174918, 356925068, 356925069, 356925070, 356925071, 356925072, 356925041, 4059602, 356925073, 41809567, 281158062, 220025558, 356925046, 41810200, 280373396, 518338172, 220025535]",False,"['5', '2', '4', '3']",57,primary,1429.8790000000001,Maléter Pál út,50.0,,,,,,,50.0,#440154
26234683,26234688,0,4320717,True,1,58,primary,66.666,,89.99999999999999,,roundabout,,,,,89.99999999999999,#21908d
26234685,26234683,0,4320717,True,1,58,primary,17.622,,89.99999999999999,,roundabout,,,,,89.99999999999999,#21908d
26234685,1601725404,0,4320725,True,1,58,primary,36.716,,90.0,,,,,,,90.0,#21918c
26234686,26234685,0,4320717,True,1,58,primary,7.072,,89.99999999999999,,roundabout,,,,,89.99999999999999,#21908d
26234688,26234686,0,4320717,True,1,58,primary,21.076999999999998,,89.99999999999999,,roundabout,,,,,89.99999999999999,#21908d
26234688,480487155,0,335875793,True,1,58,primary,64.715,,90.0,,,,,,,90.0,#21918c
26234825,26234830,0,4320730,True,1,58,primary,15.536000000000001,,90.0,,roundabout,,,,,90.0,#21918c
26234825,3429869991,0,39991769,True,1,58,primary,50.334,,90.0,,,,,,,90.0,#21918c
26234830,26234850,0,4320730,True,1,58,primary,35.191,,90.0,,roundabout,,,,,90.0,#21918c
26234850,3429867583,0,4320730,True,1,58,primary,18.526000000000003,,90.0,,roundabout,,,,,90.0,#21918c
26234850,498397189,0,39991770,True,1,58,primary,56.024,,89.99999999999999,,,,,,,89.99999999999999,#21908d
331047126,2838755950,0,8084929,True,1,58,primary,63.522,,90.00000000000001,,roundabout,,,,,90.00000000000001,#21918c
331047130,498396814,0,"[40924796, 336702118, 336702111]",True,"['2', '1']",58,primary,170.2,EU;EEA;CH | All passports car,29.999999999999996,,,,,,,29.999999999999996,#440154
351644796,2342204525,0,4068213,False,4,6,primary,35.755,Nagy Lajos király útja,50.0,,,,,,,50.0,#440154
